#{"t_start": 1561044984.770769, "env_id": "threes-v0"}
r,l,t
150.0,32,46.652394
1329.0,120,46.746137
324.0,50,46.783528
444.0,67,46.833884
267.0,58,46.87794
159.0,38,46.906848
72.0,23,46.923925
165.0,36,46.951146
447.0,75,47.006038
57.0,19,47.020488
75.0,26,47.038843
414.0,59,47.081946
111.0,31,47.111349
198.0,45,47.1456
372.0,58,47.190993
321.0,66,47.240359
405.0,54,47.281596
105.0,22,47.29808
174.0,47,47.335167
123.0,45,47.369688
438.0,91,47.434437
162.0,46,47.466094
336.0,65,47.520643
153.0,38,47.550467
426.0,80,47.609971
201.0,55,47.650893
231.0,48,47.687044
237.0,106,47.760286
348.0,44,47.791676
162.0,36,47.819434
384.0,58,47.868129
414.0,64,47.916541
123.0,37,47.943855
198.0,50,47.98136
477.0,81,48.042057
132.0,29,48.06367
162.0,41,48.095835
315.0,59,48.138542
78.0,23,48.156961
195.0,54,48.197191
252.0,54,48.24331
162.0,40,48.273122
210.0,52,48.311164
84.0,23,48.329156
342.0,51,48.368145
126.0,39,48.397781
225.0,44,48.430093
381.0,54,48.47334
129.0,36,48.502209
405.0,66,48.558024
294.0,45,48.592252
381.0,54,48.63778
204.0,59,48.681597
414.0,113,48.761139
264.0,54,48.800259
165.0,39,48.827985
258.0,65,48.876352
177.0,39,48.906568
954.0,93,48.977055
396.0,75,49.037537
189.0,45,49.071466
315.0,95,49.13655
102.0,32,49.16008
75.0,21,49.176007
441.0,63,49.224759
264.0,62,49.271051
189.0,46,49.307424
243.0,57,49.348705
147.0,36,49.3811
429.0,67,49.432323
168.0,48,49.466585
99.0,30,49.488751
114.0,36,49.516772
99.0,35,49.54302
393.0,66,49.593912
75.0,25,49.613604
177.0,37,49.641729
369.0,180,49.761832
168.0,39,49.79089
486.0,76,49.848348
141.0,35,49.874697
78.0,27,49.894448
132.0,29,49.91679
207.0,43,49.950834
93.0,26,49.970237
414.0,55,50.012208
285.0,229,50.161714
165.0,46,50.193431
66.0,22,50.20876
312.0,105,50.277747
405.0,64,50.323928
165.0,35,50.350852
2676.0,223,50.51555
345.0,103,50.587182
321.0,114,50.663812
165.0,60,50.707023
123.0,36,50.733992
402.0,83,50.795966
483.0,65,50.851036
1011.0,112,50.931318
171.0,41,50.962777
240.0,54,51.001205
402.0,201,51.135639
477.0,74,51.195277
279.0,55,51.236123
462.0,81,51.295683
195.0,38,51.322779
126.0,32,51.347006
27.0,13,51.355825
984.0,337,51.578043
276.0,79,51.630299
1341.0,126,51.723886
483.0,68,51.773731
213.0,51,51.810065
468.0,159,51.918895
543.0,154,52.020067
216.0,60,52.061232
198.0,41,52.091508
150.0,33,52.11693
183.0,40,52.146456
735.0,108,52.248585
1152.0,129,52.378563
396.0,67,52.43676
663.0,89,52.526612
231.0,49,52.58309
327.0,47,52.622967
273.0,53,52.664874
486.0,87,52.736829
135.0,32,52.760118
225.0,64,52.805441
213.0,50,52.841191
615.0,121,52.926722
141.0,31,52.949711
159.0,34,52.975443
57.0,20,52.990649
96.0,23,53.009772
195.0,43,53.041606
1137.0,114,53.132258
369.0,52,53.171704
381.0,50,53.209838
372.0,49,53.248751
849.0,89,53.331628
297.0,67,53.391605
219.0,84,53.448563
150.0,31,53.47086
396.0,67,53.527911
483.0,67,53.577937
240.0,46,53.613363
228.0,86,53.674627
297.0,148,53.773358
